term,category
अंतराल,Generic
अंदर,Generic
अंश,Generic
अउरा,Generic
अक्तूबर,Month Name
अक्सर,Generic
अगजा,Generic
अगता,Generic
अगर,Generic
अगले,Generic
अचार,Generic
अच्छा,Generic
अच्छी,Generic
अच्छे,Generic
अजवायन,Crop
अट्ठारह,Numeral
अठाइस,Numeral
अठारे,Numeral
अडवांटा,Generic
अड़हुल,Variety
अदरक,Crop
अदरत,Generic
अधरत,Symptom
अधिक,Generic
अनगड़ा,Generic
अनाज,Generic
अनार,Crop
अनुदान,Generic
अनुमान,Generic
अन्य,Generic
अपना,Generic
अप्रैल,Month Name
अब,Generic
अब्जी,Generic
अभी,Generic
अभी।,Generic
अमदुर,Generic
अमरलाता,Generic
अमरुद,Crop
अमरूद,Crop
अमृत,Generic
अरबी,Crop
अरहर,Crop
अरे,Generic
अलसी,Crop
अलुआ,Crop
अलुवा,Country/Place
अलैया,Generic
अल्पान,Generic
अवसक्ता,Generic
अवसियक,Generic
अशी,Generic
असर,Generic
असर।,Generic
असुर,Generic
अस्त्र,Generic
अस्सुगंधा,Crop
आ,Generic
आंवला,Crop
आई,Generic
आईएफसी,Generic
आए,Generic
आएंगे,Generic
आएगा,Generic
आएगा।,Generic
आओ,Generic
आकाशीय,Generic
आचार,Generic
आज,Generic
आजा,Generic
आज।,Generic
आठ,Numeral
आड़,Generic
आता,Generic
आदि,Generic
आद्रता,Generic
आधा,Numeral
आधी,Numeral
आना।,Generic
आने,Generic
आप,Generic
आपका,Generic
आपको,Generic
आपत,Generic
आपने,Generic
आम,Crop
आमके,Crop
आमदुरु,Generic
आया,Generic
आया।,Generic
आयिल,Chemical Name
आयुर्वेदिक,Generic
आये,Generic
आयेगा,Generic
आर,Generic
आर्मी,Generic
आलु,Crop
आलू,Crop
आलूआ,Crop
आवशक,Generic
आवश्यक,Generic
आवश्यकता,Generic
आवेगा,Generic
आसान,Generic
इ,Generic
इंडिया,Country/Place
इंसान,Generic
इकतालीस,Numeral
इकतीस,Numeral
इक्कावन,Numeral
इक्कीस,Numeral
इख,Crop
इटिका,Generic
इनकम,Generic
इनमें,Generic
इन्सेक्टीसाइड,Chemical Name
इरीगेशन,Agri Practice
इलाज,Agri Practice
इलाज,Agri Practice
इस,Generic
इसका,Generic
इसकी,Generic
इसके,Generic
इसको,Generic
इसपे,Generic
इसमें,Generic
इसलिए,Generic
इससे,Generic
इसी,Generic
इसीलिए,Generic
इस्तमाल,Generic
इस्तेमाल,Generic
इ।,Generic
ईंख,Crop
ईख,Crop
ईटी,Agri Practice
उ,Generic
उखटा,Generic
उखड़,Symptom
उखड़ा,Generic
उखरा,Generic
उखाड़ने,Agri Practice
उखाड़ा,Agri Practice
उगठा,Generic
उगता,Generic
उगती,Generic
उगने,Generic
उगा,Generic
उगाई,Agri Practice
उगाए,Agri Practice
उगाएं,Agri Practice
उगाना,Agri Practice
उगाना।,Agri Practice
उगानी,Agri Practice
उगाय,Agri Practice
उगाया,Agri Practice
उगाये,Agri Practice
उगे,Generic
उगो,Generic
उचित,Generic
उच्च,Generic
उजला,Generic
उजला,Generic
उजली,Generic
उज्जैन,Country/Place
उठका,Agri Practice
उठाना,Generic
उड़द,Crop
उड़ने,Generic
उड़वेत,Generic
उड़हुल,Generic
उड़ा,Generic
उतरेगा।,Generic
उत्का,Variety
उत्तम,Generic
उत्पादन,Generic
उदेश्य,Generic
उधर,Generic
उनका,Generic
उनको,Generic
उनसठ,Numeral
उनीस,Numeral
उन्तीस,Numeral
उन्नत,Generic
उन्नतशील,Generic
उन्नति,Generic
उन्नीस,Numeral
