_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
c6300394,bf03b83d-19b4-4683-a528-1a5fe26b32af,google,sub,मुंग,मुंह,0.0,1.8,wav_files/bf03b83d-19b4-4683-a528-1a5fe26b32af_16000.wav
e70af6c4,bf03b83d-19b4-4683-a528-1a5fe26b32af,google,sub,कब,का,1.8,2.0,wav_files/bf03b83d-19b4-4683-a528-1a5fe26b32af_16000.wav
b3ba8be7,bf03b83d-19b4-4683-a528-1a5fe26b32af,google,sub,बुना,बना,2.0,2.5,wav_files/bf03b83d-19b4-4683-a528-1a5fe26b32af_16000.wav
a362ddfe,bf03b83d-19b4-4683-a528-1a5fe26b32af,google,del,?,,0.0,8.793,wav_files/bf03b83d-19b4-4683-a528-1a5fe26b32af_16000.wav
0728ca42,e2ae59cf-0ade-4262-b202-24994574a21b,google,sub,रहेगा?,रहेगा,1.8,2.1,wav_files/e2ae59cf-0ade-4262-b202-24994574a21b_16000.wav
b21fb703,5c2b7394-d604-4208-9341-228d83104956,google,sub,पाट,काट,4.4,4.9,wav_files/5c2b7394-d604-4208-9341-228d83104956_16000.wav
3f75dc6e,5c2b7394-d604-4208-9341-228d83104956,google,sub,चाहिए।,चाहिए,4.9,5.9,wav_files/5c2b7394-d604-4208-9341-228d83104956_16000.wav
93f07f0c,5c2b7394-d604-4208-9341-228d83104956,google,sub,चाहिए?,चाहिए,7.3,7.8,wav_files/5c2b7394-d604-4208-9341-228d83104956_16000.wav
16d52c5b,3be1e0af-7640-42c1-bb90-b975cd84583b,google,sub,आज,आ,0.7,0.7,wav_files/3be1e0af-7640-42c1-bb90-b975cd84583b_16000.wav
d767a645,3be1e0af-7640-42c1-bb90-b975cd84583b,google,sub,आया,गया,0.7,1.3,wav_files/3be1e0af-7640-42c1-bb90-b975cd84583b_16000.wav
16b96251,3be1e0af-7640-42c1-bb90-b975cd84583b,google,sub,क्या?,क्या,2.5,2.9,wav_files/3be1e0af-7640-42c1-bb90-b975cd84583b_16000.wav
40e9e050,ed79253b-45b6-4eb7-8f9d-3f55564a1f78,google,del,दे,,0.0,5.753,wav_files/ed79253b-45b6-4eb7-8f9d-3f55564a1f78_16000.wav
0b988b82,ed79253b-45b6-4eb7-8f9d-3f55564a1f78,google,sub,की,देगा,3.4,3.7,wav_files/ed79253b-45b6-4eb7-8f9d-3f55564a1f78_16000.wav
