_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
5f1dd142,1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp,azure,del,No,,0.0,2.6,wav_files/odiya/1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp_16000.wav
e432fc62,1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp,azure,sub,Transcription,ହଁ,2.45,2.53,wav_files/odiya/1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp_16000.wav
41d0cef4,1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp,azure,sub,Available,ଆ,2.49,2.53,wav_files/odiya/1Gsx9dl8ooKC2KyliE_WiYhl1HAoYDeYp_16000.wav
5cff8351,1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh,azure,del,ସମସ୍ତେ,,0.0,1.82,wav_files/odiya/1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh_16000.wav
e596ffb4,1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh,azure,del,ଆଜି,,0.0,1.82,wav_files/odiya/1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh_16000.wav
cbbf6aa8,1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh,azure,del,କଣ,,0.0,1.82,wav_files/odiya/1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh_16000.wav
e928c699,1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh,azure,sub,କରୁଚ?,ହଁ,1.11,1.19,wav_files/odiya/1TdX3ZT3Ib97sCn1JD5BvBqrSKypoBwEh_16000.wav
a65b5c74,1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO,azure,sub,ପଳେଇ,ପଡେ,1.43,1.67,wav_files/odiya/1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO_16000.wav
9e00c2a1,1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO,azure,sub,ଆସିଥିଲି।,ଆସିଥିଲି,1.67,2.15,wav_files/odiya/1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO_16000.wav
04503f0c,1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO,azure,sub,ହେଇଚି,ହୋଇଛି,2.75,3.11,wav_files/odiya/1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO_16000.wav
e0cabf33,1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO,azure,ins,,ପାଇଁ,3.83,3.99,wav_files/odiya/1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO_16000.wav
c9a5f928,1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO,azure,sub,ପାଇଁ।,ପାଇଁ,3.87,4.03,wav_files/odiya/1mFN3lXgffDCDd26rNRwwaRlnxMBkZcOO_16000.wav
573b5d66,1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8,azure,del,ଦିଦି,,0.0,2.812,wav_files/odiya/1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8_16000.wav
b46c83f1,1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8,azure,sub,ପଳେଇ,ପଢାଇଲେ,2.27,2.71,wav_files/odiya/1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8_16000.wav
26a698a4,1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8,azure,sub,ଆଇଲେ?,ଆଜି,0.83,1.15,wav_files/odiya/1ayae_Nw0H4N6ffKEB7yHRtdbBh4UPES8_16000.wav
2cc709a1,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ଏ,ଏଇପଟେ,0.11,0.43,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
66d51ec7,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ପଟେ,ଆସୁଥିଲି,0.43,1.11,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
b4357cec,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ଆସୁଥିଲି,ତ,1.11,1.31,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
8e643859,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ତମେ,ଆମେ,1.63,1.87,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
fe679934,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ସେଥିପାଇଁ,ସେଇଥିପାଇଁ,3.71,4.31,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
37735e6a,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ଆସିଲି।,ଆସିଲି,4.87,5.39,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
cfe2ded6,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ପରା,ଭରା,5.91,6.19,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
b4025563,19J7Z-cDxfy96nZ_sax55jqgRluETTrwR,azure,sub,ଲଗେଇଥିଲା,ଲଗେଇଥିଲେ,6.55,7.11,wav_files/odiya/19J7Z-cDxfy96nZ_sax55jqgRluETTrwR_16000.wav
