term,category
!,Not Applicable
",",Not Applicable
",अभी",Generic
",कौन",Generic
गेंहू,Crop
",प्याज",Crop
-,Not Applicable
2,Not Applicable
2967,Not Applicable
<noise>,Not Applicable
<speaker,Not Applicable
<uninteligible>,Not Applicable
<unintelligble>,Not Applicable
<unintelligible>,Not Applicable
"<unintelligible>,",Not Applicable
<unintelligile>,Not Applicable
<unitelligible>,Not Applicable
?,Not Applicable
?आज,Generic
?करे,Generic
?कहां,Generic
देखिये,Generic
वर्मीकम्पोस्ट,Generic
?शुद्ध,Generic
What,Not Applicable
When,Not Applicable
[पूछो,Generic
be,Not Applicable
beans,Not Applicable
cultivation,Not Applicable
grow,Not Applicable
is,Not Applicable
make,Not Applicable
nan,Not Applicable
overlap>,Not Applicable
paddy,Not Applicable
place?,Not Applicable
started?,Not Applicable
take,Not Applicable
to,Not Applicable
used,Not Applicable
wheat,Not Applicable
will,Not Applicable
अ,Generic
अंकुरित,Generic
अंकुरी,Generic
अंडा,Generic
अंडा,Generic
अंडे,Generic
अंत,Generic
अंतर,Generic
अंतर!,Generic
अंतिम,Generic
अंदर,Generic
अंदर!,Generic
अंदर,Generic
अंदर।,Generic
अंदाज,Generic
अइनी,Generic
अइला,Generic
अईसही,Generic
अकटि,Generic
अकेला,Generic
अक्टूबर,Generic
अक्ति,Generic
अगर,Generic
अगरने,Generic
अगला,Generic
अगले,Generic
अगस्त,Generic
अगेंस्ट,Generic
अग्निअस्त्र,Generic
अग्नियास्त्र,Generic
अग्रणी,Generic
अच्चा,Generic
अच्छ,Generic
अच्छा,Generic
अच्छा!,Generic
अच्छा,Generic
अच्छा?,Generic
अच्छा।,Generic
अच्छी,Generic
अच्छी,Generic
अच्छे,Generic
अछा,Generic
अछि,Generic
अजी,Generic
अटकी,Symptom
अटराजीन,Generic
अट्ठाइस,Generic
अट्ठारह,Generic
अट्ठावन,Generic
अठाइस,Generic
अठारा,Generic
अड़रिड़ा,Generic
अड़हर,Pest/Disease
अड़हाइ,Generic
अड़हुल,Variety
अढ़हुल,Generic
अणि,Generic
